Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,WBA,DIS
2019-03-20,201.0825653076172,109.23727416992188,185.72898864746094,367.3497619628906,129.2691192626953,119.6280288696289,51.81672286987305,44.51689147949219,46.89089584350586,77.35424041748047,190.0020294189453,182.5147247314453,133.3702392578125,52.5838737487793,133.55992126464844,101.52680206298828,180.63064575195312,80.44554138183594,115.98544311523438,85.76426696777344,40.60071563720703,99.13125610351562,129.12164306640625,247.27435302734375,122.68782043457031,55.33024978637695,152.81504821777344,97.20216369628906,60.71189498901367,108.66201782226562
2019-03-21,202.34719848632812,110.27275085449219,192.56942749023438,363.9707946777344,130.28961181640625,120.75053405761719,52.47829818725586,44.497337341308594,46.11879348754883,77.80132293701172,190.25624084472656,186.31016540527344,135.1281280517578,53.385040283203125,134.34791564941406,99.92406463623047,181.997802734375,81.29821014404297,118.65019226074219,87.0701675415039,40.77401351928711,99.88165283203125,132.11053466796875,248.7747802734375,124.2249755859375,55.92510223388672,154.85260009765625,97.61603546142578,61.49509048461914,107.34808349609375
2019-03-22,197.56871032714844,107.9454116821289,188.58164978027344,353.68743896484375,126.1202621459961,118.09297943115234,51.31081771850586,44.90799331665039,45.76099395751953,76.55521392822266,184.76113891601562,185.11366271972656,133.2269287109375,52.03673553466797,133.19024658203125,96.90312194824219,182.42747497558594,80.6513671875,115.52157592773438,81.31232452392578,40.292625427246094,99.07278442382812,132.63160705566406,243.90826416015625,122.53117370605469,57.33545684814453,152.13919067382812,96.847412109375,60.34447479248047,106.92327880859375
2019-03-25,196.1689453125,107.5312271118164,186.30148315429688,361.783203125,127.68499755859375,117.9011001586914,51.301090240478516,45.005767822265625,46.27886962890625,76.02251434326172,184.3211212158203,186.0257568359375,132.96897888183594,51.5677604675293,132.8983917236328,96.09688568115234,181.363037109375,80.71015930175781,116.12362670898438,81.45082092285156,40.33113479614258,99.36514282226562,132.6807861328125,243.6812286376953,122.77594757080078,57.642478942871094,152.0994110107422,96.739013671875,59.6483039855957,106.48858642578125
2019-03-26,200.05931091308594,107.98485565185547,184.37667846679688,361.7051086425781,128.13204956054688,119.09075164794922,51.787540435791016,45.602195739746094,45.99639129638672,77.01179504394531,186.45269775390625,185.69229125976562,133.9625701904297,52.21259689331055,134.80514526367188,97.05854797363281,183.08175659179688,81.26880645751953,116.37034606933594,82.48960876464844,40.84141540527344,100.39816284179688,132.7102813720703,240.25592041015625,123.50045776367188,58.170162200927734,154.35562133789062,96.8868179321289,59.87069320678711,108.81021118164062
2019-03-27,199.9821014404297,107.47206115722656,186.03497314453125,365.4454040527344,127.51004791259766,117.80516052246094,51.699981689453125,45.5728645324707,47.173370361328125,76.42202758789062,185.80735778808594,185.6040496826172,133.02630615234375,51.93903732299805,134.93162536621094,96.72827911376953,183.11105346679688,80.6513671875,115.24522399902344,82.20270538330078,40.456298828125,100.2812271118164,134.05723571777344,238.59754943847656,123.65711212158203,58.41001510620117,153.28219604492188,95.79300689697266,60.170433044433594,108.94851684570312
2019-03-28,201.3046112060547,107.64956665039062,186.28173828125,365.6700439453125,128.64715576171875,118.02582550048828,51.91401672363281,45.54353332519531,47.879554748535156,76.80252075195312,186.93179321289062,186.39842224121094,133.67596435546875,51.89018249511719,135.10671997070312,97.82592010498047,184.94696044921875,80.98458862304688,115.40314483642578,83.14257049560547,40.716251373291016,100.91468811035156,134.59799194335938,239.11083984375,124.6068115234375,56.683048248291016,153.7294464111328,95.71417236328125,60.441165924072266,109.37332916259766
2019-03-29,200.58058166503906,107.78762817382812,187.49586486816406,372.486572265625,131.67938232421875,118.17933654785156,52.526947021484375,45.817298889160156,48.61399459838867,76.85960388183594,187.72381591796875,188.19317626953125,134.80331420898438,52.466636657714844,135.99197387695312,98.3310317993164,185.44497680664062,81.51383209228516,116.39996337890625,83.31074523925781,40.88955307006836,101.40196228027344,134.85362243652344,244.07608032226562,126.19291687011719,56.73101806640625,155.24020385742188,96.10834503173828,61.17601013183594,109.68946075439453
2019-04-01,204.5964813232422,110.15441131591797,188.7692108154297,382.3695373535156,136.30551147460938,119.86788177490234,53.490116119384766,45.680419921875,50.374755859375,77.74425506591797,192.36825561523438,191.8709259033203,136.90513610839844,53.25802230834961,135.20399475097656,101.64337158203125,183.97039794921875,81.64125061035156,117.46585845947266,84.31985473632812,41.245784759521484,101.00238037109375,135.6991729736328,242.3782196044922,130.40292358398438,56.6926383972168,156.3037109375,96.39411163330078,61.38873291015625,111.15159606933594
2019-04-02,204.77987670898438,109.46410369873047,191.51329040527344,381.5979919433594,136.24720764160156,119.85828399658203,53.791717529296875,45.53375244140625,52.964115142822266,77.41131591796875,193.11135864257812,190.56654357910156,136.61851501464844,53.111473083496094,133.96852111816406,102.12905883789062,183.9313507080078,81.55303192138672,117.63363647460938,83.46903991699219,41.313175201416016,101.1095962524414,134.50950622558594,241.2627716064453,129.13992309570312,56.155357360839844,156.82054138183594,95.52694702148438,53.527801513671875,110.60823822021484
